"","Date","COUNTY","Site.Name","LAT","LONG","Month","Year","Ozone","PM2.5"
"124",2018-01-11,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,12
"125",2018-01-11,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,27.5
"126",2018-01-11,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,17
"127",2018-01-11,"Wake","Millbrook School",35.856111,-78.574167,1,2018,26,23
"128",2018-01-12,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,5
"129",2018-01-12,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,8
"130",2018-01-12,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,23
"131",2018-01-12,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,23
"132",2018-01-12,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,15
"133",2018-01-12,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,13
"134",2018-01-12,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,33,20
"135",2018-01-12,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,0
"136",2018-01-12,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,12
"137",2018-01-12,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,10
"138",2018-01-12,"Wake","Millbrook School",35.856111,-78.574167,1,2018,35,0
"139",2018-01-13,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,20
"140",2018-01-13,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,0
"141",2018-01-13,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,10
"142",2018-01-13,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,10
"143",2018-01-13,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,12
"144",2018-01-13,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,8
"145",2018-01-13,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,32,15
"146",2018-01-13,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,10
"147",2018-01-13,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,3
"148",2018-01-13,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,18
"149",2018-01-13,"Wake","Millbrook School",35.856111,-78.574167,1,2018,32,24
"150",2018-01-14,"Avery","Linville Falls",35.972347,-81.933072,1,2018,NA,10
"151",2018-01-14,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,20
"152",2018-01-14,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,10
"153",2018-01-14,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,25
"154",2018-01-14,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,20.3333333333333
"155",2018-01-14,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,22
"156",2018-01-14,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,NA,6
"157",2018-01-14,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,15
"158",2018-01-14,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,31,26.5
"159",2018-01-14,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,10
"160",2018-01-14,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,15.5
"161",2018-01-14,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,28
"162",2018-01-14,"Wake","Millbrook School",35.856111,-78.574167,1,2018,NA,19.5
"163",2018-01-15,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,44
"164",2018-01-15,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,24
"165",2018-01-15,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,30
"166",2018-01-15,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,30
"167",2018-01-15,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,40
"168",2018-01-15,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,35
"169",2018-01-15,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,27,43
"170",2018-01-15,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,21
"171",2018-01-15,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,30
"172",2018-01-15,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,43
"173",2018-01-15,"Wake","Millbrook School",35.856111,-78.574167,1,2018,NA,35
"174",2018-01-16,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,60
"175",2018-01-16,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,29
"176",2018-01-16,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,69
"177",2018-01-16,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,68
"178",2018-01-16,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,70
"179",2018-01-16,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,53
"180",2018-01-16,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,28,61
"181",2018-01-16,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,20
"182",2018-01-16,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,37
"183",2018-01-16,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,52
"184",2018-01-16,"Wake","Millbrook School",35.856111,-78.574167,1,2018,24,58
"185",2018-01-17,"Avery","Linville Falls",35.972347,-81.933072,1,2018,NA,19
"186",2018-01-17,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,54.5
"187",2018-01-17,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,38
"188",2018-01-17,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,55
"189",2018-01-17,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,47.5
"190",2018-01-17,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,51
"191",2018-01-17,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,NA,15
"192",2018-01-17,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,66
"193",2018-01-17,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,28,40.5
"194",2018-01-17,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,24
"195",2018-01-17,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,48.5
"196",2018-01-17,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,37
"197",2018-01-17,"Wake","Millbrook School",35.856111,-78.574167,1,2018,29,56
"198",2018-01-18,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,45
"199",2018-01-18,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,31
"200",2018-01-18,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,40
"201",2018-01-18,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,35
"202",2018-01-18,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,34
"203",2018-01-18,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,50
"204",2018-01-18,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,31,40
"205",2018-01-18,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,30
"206",2018-01-18,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,38
"207",2018-01-18,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,48
"208",2018-01-18,"Wake","Millbrook School",35.856111,-78.574167,1,2018,35,54
"209",2018-01-19,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,57
"210",2018-01-19,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,25
"211",2018-01-19,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,54
"212",2018-01-19,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,43
"213",2018-01-19,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,37
"214",2018-01-19,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,42
